Country,ISO3 Code,Date,Price (EUR/MWhe)
France,FRA,03/01/2015,36.56
Germany,DEU,03/01/2015,22.34
Greece,GRC,03/01/2015,62.76
Hungary,HUN,03/01/2015,39.21
Italy,ITA,03/01/2015,47.72
Latvia,LVA,03/01/2015,28.72
Lithuania,LTU,03/01/2015,28.06
Luxembourg,LUX,03/01/2015,22.34
Netherlands,NLD,03/01/2015,36.56
Norway,NOR,03/01/2015,27.61
Poland,POL,03/01/2015,20.42
Portugal,PRT,03/01/2015,53.32
Romania,ROU,03/01/2015,40.95
Slovakia,SVK,03/01/2015,18.65
Slovenia,SVN,03/01/2015,43.46
Spain,ESP,03/01/2015,53.26
Sweden,SWE,03/01/2015,24.48
Switzerland,CHE,03/01/2015,36.46
Austria,AUT,04/01/2015,22.34
Belgium,BEL,04/01/2015,36.56
Czechia,CZE,04/01/2015,13.42
Denmark,DNK,04/01/2015,22.07
Estonia,EST,04/01/2015,29.4
Finland,FIN,04/01/2015,28.65
France,FRA,04/01/2015,36.56
Germany,DEU,04/01/2015,22.34
Greece,GRC,04/01/2015,52.03
Hungary,HUN,04/01/2015,40.08
Italy,ITA,04/01/2015,47.72
Latvia,LVA,04/01/2015,29.4
Lithuania,LTU,04/01/2015,29.39
Luxembourg,LUX,04/01/2015,22.34
Netherlands,NLD,04/01/2015,36.56
Norway,NOR,04/01/2015,28.26
Poland,POL,04/01/2015,24.26
Portugal,PRT,04/01/2015,46.84
Romania,ROU,04/01/2015,40.95
Slovakia,SVK,04/01/2015,13.42
Slovenia,SVN,04/01/2015,38.08
Spain,ESP,04/01/2015,46.43
Sweden,SWE,04/01/2015,28.31
Switzerland,CHE,04/01/2015,31.78
Austria,AUT,05/01/2015,36.18
Belgium,BEL,05/01/2015,45.2
Czechia,CZE,05/01/2015,39.03
Denmark,DNK,05/01/2015,38.23
Estonia,EST,05/01/2015,41.29
Finland,FIN,05/01/2015,41.29
France,FRA,05/01/2015,44.8
Germany,DEU,05/01/2015,36.18
Greece,GRC,05/01/2015,59.9
Hungary,HUN,05/01/2015,45.29
Italy,ITA,05/01/2015,53.51
Latvia,LVA,05/01/2015,42
Lithuania,LTU,05/01/2015,42
Luxembourg,LUX,05/01/2015,36.18
Netherlands,NLD,05/01/2015,41.73
Norway,NOR,05/01/2015,33.89
Poland,POL,05/01/2015,34.68
Portugal,PRT,05/01/2015,59.86
Romania,ROU,05/01/2015,40.28
Slovakia,SVK,05/01/2015,39.03
Slovenia,SVN,05/01/2015,43.05
Spain,ESP,05/01/2015,59.86
Sweden,SWE,05/01/2015,37.45
Switzerland,CHE,05/01/2015,47.62
Austria,AUT,06/01/2015,33.67
Belgium,BEL,06/01/2015,44.93
Czechia,CZE,06/01/2015,36.37
Denmark,DNK,06/01/2015,29.51
Estonia,EST,06/01/2015,32.3
Finland,FIN,06/01/2015,32.3
France,FRA,06/01/2015,44.93
Germany,DEU,06/01/2015,33.67
Greece,GRC,06/01/2015,58.11
Hungary,HUN,06/01/2015,43.2
Italy,ITA,06/01/2015,50.44
Latvia,LVA,06/01/2015,38.53
Lithuania,LTU,06/01/2015,38.53
Luxembourg,LUX,06/01/2015,33.67
Netherlands,NLD,06/01/2015,42.19
Norway,NOR,06/01/2015,29.16
Poland,POL,06/01/2015,32.25
Portugal,PRT,06/01/2015,53.58
Romania,ROU,06/01/2015,40.93
Slovakia,SVK,06/01/2015,36.37
Slovenia,SVN,06/01/2015,41.55
Spain,ESP,06/01/2015,53.21
Sweden,SWE,06/01/2015,29.69
Switzerland,CHE,06/01/2015,45.34
Austria,AUT,07/01/2015,38.59
Belgium,BEL,07/01/2015,45.53
Czechia,CZE,07/01/2015,38.62
Denmark,DNK,07/01/2015,30.33
Estonia,EST,07/01/2015,32.93
Finland,FIN,07/01/2015,32.93
France,FRA,07/01/2015,45.53
Germany,DEU,07/01/2015,38.59
Greece,GRC,07/01/2015,66.25
Hungary,HUN,07/01/2015,48.29
Italy,ITA,07/01/2015,59.96
Latvia,LVA,07/01/2015,38.49
Lithuania,LTU,07/01/2015,38.49
Luxembourg,LUX,07/01/2015,38.59
Netherlands,NLD,07/01/2015,42.49
Norway,NOR,07/01/2015,29.65
Poland,POL,07/01/2015,35.86
Portugal,PRT,07/01/2015,64.76
Romania,ROU,07/01/2015,45.97
Slovakia,SVK,07/01/2015,41.46
Slovenia,SVN,07/01/2015,48.9
Spain,ESP,07/01/2015,64.76
Sweden,SWE,07/01/2015,31.79
Switzerland,CHE,07/01/2015,47.82
Austria,AUT,08/01/2015,28.05
Belgium,BEL,08/01/2015,43.23
Czechia,CZE,08/01/2015,27.38
Denmark,DNK,08/01/2015,26.06
Estonia,EST,08/01/2015,29.87
Finland,FIN,08/01/2015,29.87
France,FRA,08/01/2015,42.52
Germany,DEU,08/01/2015,28.05
Greece,GRC,08/01/2015,79.68
Hungary,HUN,08/01/2015,58.75
Italy,ITA,08/01/2015,60.53
Latvia,LVA,08/01/2015,40.32
Lithuania,LTU,08/01/2015,40.32
Luxembourg,LUX,08/01/2015,28.05
Netherlands,NLD,08/01/2015,42.4
Norway,NOR,08/01/2015,27.66
Poland,POL,08/01/2015,33.87
Portugal,PRT,08/01/2015,65.76
Romania,ROU,08/01/2015,58.75
Slovakia,SVK,08/01/2015,40.4
Slovenia,SVN,08/01/2015,54.06
Spain,ESP,08/01/2015,65.52
Sweden,SWE,08/01/2015,28.49
Switzerland,CHE,08/01/2015,46.15
Austria,AUT,09/01/2015,24.48
Belgium,BEL,09/01/2015,36.68
Czechia,CZE,09/01/2015,22.09
Denmark,DNK,09/01/2015,25.65
Estonia,EST,09/01/2015,33.31
Finland,FIN,09/01/2015,33.31
France,FRA,09/01/2015,33.02
Germany,DEU,09/01/2015,24.48
Greece,GRC,09/01/2015,74.58
Hungary,HUN,09/01/2015,43.74
Italy,ITA,09/01/2015,56.13
Latvia,LVA,09/01/2015,39.51
Lithuania,LTU,09/01/2015,39.51
Luxembourg,LUX,09/01/2015,24.48
Netherlands,NLD,09/01/2015,36.68
Norway,NOR,09/01/2015,27.5
Poland,POL,09/01/2015,32.9
Portugal,PRT,09/01/2015,63.26
Romania,ROU,09/01/2015,42.51
Slovakia,SVK,09/01/2015,34.43
Slovenia,SVN,09/01/2015,48.37
Spain,ESP,09/01/2015,63.12
Sweden,SWE,09/01/2015,28.53
Switzerland,CHE,09/01/2015,45.05
Austria,AUT,10/01/2015,12.15
Belgium,BEL,10/01/2015,35.91
Czechia,CZE,10/01/2015,9.32
Denmark,DNK,10/01/2015,19.54
Estonia,EST,10/01/2015,28.87
Finland,FIN,10/01/2015,28.57
France,FRA,10/01/2015,18.13
Germany,DEU,10/01/2015,12.15
Greece,GRC,10/01/2015,63.86
Hungary,HUN,10/01/2015,44.63
Italy,ITA,10/01/2015,47.09
Latvia,LVA,10/01/2015,38.78
Lithuania,LTU,10/01/2015,38.78
Luxembourg,LUX,10/01/2015,12.15
Netherlands,NLD,10/01/2015,36.29
Norway,NOR,10/01/2015,26.44
Poland,POL,10/01/2015,31.14
Portugal,PRT,10/01/2015,57.26
Romania,ROU,10/01/2015,37.18
Slovakia,SVK,10/01/2015,12.97
Slovenia,SVN,10/01/2015,38.5
Spain,ESP,10/01/2015,56.71
Sweden,SWE,10/01/2015,27.69
Switzerland,CHE,10/01/2015,38.82
Austria,AUT,11/01/2015,1.49
Belgium,BEL,11/01/2015,30.43
Czechia,CZE,11/01/2015,4.6
Denmark,DNK,11/01/2015,13.45
Estonia,EST,11/01/2015,27.4
Finland,FIN,11/01/2015,27.4
France,FRA,11/01/2015,26.04
Germany,DEU,11/01/2015,1.49
Greece,GRC,11/01/2015,62.81
Hungary,HUN,11/01/2015,32.6
Italy,ITA,11/01/2015,39.47
Latvia,LVA,11/01/2015,39.27
Lithuania,LTU,11/01/2015,39.27
Luxembourg,LUX,11/01/2015,1.49
Netherlands,NLD,11/01/2015,30.73
Norway,NOR,11/01/2015,26.19
Poland,POL,11/01/2015,27.9
Portugal,PRT,11/01/2015,46.77
Romania,ROU,11/01/2015,30.49
Slovakia,SVK,11/01/2015,4.6
Slovenia,SVN,11/01/2015,33.69
Spain,ESP,11/01/2015,46.71
Sweden,SWE,11/01/2015,26.71
Switzerland,CHE,11/01/2015,30.58
Austria,AUT,12/01/2015,22.56
Belgium,BEL,12/01/2015,38.07
Czechia,CZE,12/01/2015,24.2
Denmark,DNK,12/01/2015,17.8
Estonia,EST,12/01/2015,50.22
Finland,FIN,12/01/2015,50.22
France,FRA,12/01/2015,36.5
Germany,DEU,12/01/2015,22.56
Greece,GRC,12/01/2015,61.87
Hungary,HUN,12/01/2015,40.32
Italy,ITA,12/01/2015,50.12
Latvia,LVA,12/01/2015,51.57
Lithuania,LTU,12/01/2015,51.57
Luxembourg,LUX,12/01/2015,22.56
Netherlands,NLD,12/01/2015,37.93
Norway,NOR,12/01/2015,28.23
Poland,POL,12/01/2015,36.3
Portugal,PRT,12/01/2015,58.33
Romania,ROU,12/01/2015,40.22
Slovakia,SVK,12/01/2015,24.2
Slovenia,SVN,12/01/2015,44.2
Spain,ESP,12/01/2015,58.08
Sweden,SWE,12/01/2015,29.52
Switzerland,CHE,12/01/2015,40.72
Austria,AUT,13/01/2015,24.97
Belgium,BEL,13/01/2015,41.01
Czechia,CZE,13/01/2015,27.77
Denmark,DNK,13/01/2015,26.62
Estonia,EST,13/01/2015,48.24
Finland,FIN,13/01/2015,48.24
France,FRA,13/01/2015,36.82
Germany,DEU,13/01/2015,24.97
Greece,GRC,13/01/2015,55.75
Hungary,HUN,13/01/2015,47.52
Italy,ITA,13/01/2015,54.91
Latvia,LVA,13/01/2015,51.09
Lithuania,LTU,13/01/2015,51.09
Luxembourg,LUX,13/01/2015,24.97
Netherlands,NLD,13/01/2015,40.93
Norway,NOR,13/01/2015,28.41
Poland,POL,13/01/2015,33.41
Portugal,PRT,13/01/2015,57.25
Romania,ROU,13/01/2015,45.99
Slovakia,SVK,13/01/2015,27.77
Slovenia,SVN,13/01/2015,46.56
Spain,ESP,13/01/2015,56.96
Sweden,SWE,13/01/2015,33.05
Switzerland,CHE,13/01/2015,43.99
Austria,AUT,14/01/2015,27.68
Belgium,BEL,14/01/2015,39.99
Czechia,CZE,14/01/2015,30.47
Denmark,DNK,14/01/2015,25.56
Estonia,EST,14/01/2015,34.08
Finland,FIN,14/01/2015,34.08
France,FRA,14/01/2015,38.92
Germany,DEU,14/01/2015,27.68
Greece,GRC,14/01/2015,61.65
Hungary,HUN,14/01/2015,48.96
Italy,ITA,14/01/2015,51.19
Latvia,LVA,14/01/2015,50.78
Lithuania,LTU,14/01/2015,50.78
Luxembourg,LUX,14/01/2015,27.68
Netherlands,NLD,14/01/2015,39.7
Norway,NOR,14/01/2015,28.86
Poland,POL,14/01/2015,34.99
Portugal,PRT,14/01/2015,61.12
Romania,ROU,14/01/2015,47.87
Slovakia,SVK,14/01/2015,31.85
Slovenia,SVN,14/01/2015,47.31
Spain,ESP,14/01/2015,61.12
Sweden,SWE,14/01/2015,29.89
Switzerland,CHE,14/01/2015,45.2
Austria,AUT,15/01/2015,24.76
Belgium,BEL,15/01/2015,42.67
Czechia,CZE,15/01/2015,25.3
Denmark,DNK,15/01/2015,23.42
Estonia,EST,15/01/2015,35.42
Finland,FIN,15/01/2015,35.43
France,FRA,15/01/2015,37.08
Germany,DEU,15/01/2015,24.76
Greece,GRC,15/01/2015,64.76
Hungary,HUN,15/01/2015,45.86
Italy,ITA,15/01/2015,53.07
Latvia,LVA,15/01/2015,40.71
Lithuania,LTU,15/01/2015,40.71
Luxembourg,LUX,15/01/2015,24.76
Netherlands,NLD,15/01/2015,42.67
Norway,NOR,15/01/2015,27.5
Poland,POL,15/01/2015,38.19
Portugal,PRT,15/01/2015,47.53
Romania,ROU,15/01/2015,45.51
Slovakia,SVK,15/01/2015,27.85
Slovenia,SVN,15/01/2015,49.48
Spain,ESP,15/01/2015,47.53
Sweden,SWE,15/01/2015,29.08
Switzerland,CHE,15/01/2015,43.67
Austria,AUT,16/01/2015,33.89
Belgium,BEL,16/01/2015,42.28
Czechia,CZE,16/01/2015,35.24
Denmark,DNK,16/01/2015,23.42
Estonia,EST,16/01/2015,33.3
Finland,FIN,16/01/2015,33.34
France,FRA,16/01/2015,42.14
Germany,DEU,16/01/2015,33.89
Greece,GRC,16/01/2015,65.9
Hungary,HUN,16/01/2015,43.57
Italy,ITA,16/01/2015,51.89
Latvia,LVA,16/01/2015,40
Lithuania,LTU,16/01/2015,40
Luxembourg,LUX,16/01/2015,33.89
Netherlands,NLD,16/01/2015,42.28
Norway,NOR,16/01/2015,27.59
Poland,POL,16/01/2015,35.37
Portugal,PRT,16/01/2015,52.66
Romania,ROU,16/01/2015,43.52
Slovakia,SVK,16/01/2015,35.47
Slovenia,SVN,16/01/2015,47.22
Spain,ESP,16/01/2015,52.66
Sweden,SWE,16/01/2015,28.74
Switzerland,CHE,16/01/2015,45.83
Austria,AUT,17/01/2015,31.26
Belgium,BEL,17/01/2015,37.05
Czechia,CZE,17/01/2015,30.82
Denmark,DNK,17/01/2015,27.81
Estonia,EST,17/01/2015,28.5
Finland,FIN,17/01/2015,28.5
France,FRA,17/01/2015,36.97
Germany,DEU,17/01/2015,31.26
Greece,GRC,17/01/2015,61.48
Hungary,HUN,17/01/2015,33.68
Italy,ITA,17/01/2015,46.89
Latvia,LVA,17/01/2015,38.91
Lithuania,LTU,17/01/2015,38.91
Luxembourg,LUX,17/01/2015,31.26
Netherlands,NLD,17/01/2015,36.62
Norway,NOR,17/01/2015,27.71
Poland,POL,17/01/2015,36.08
Portugal,PRT,17/01/2015,46.6
Romania,ROU,17/01/2015,32.82
Slovakia,SVK,17/01/2015,30.82
Slovenia,SVN,17/01/2015,34.57
Spain,ESP,17/01/2015,46.6
Sweden,SWE,17/01/2015,28.47
Switzerland,CHE,17/01/2015,42.73
Austria,AUT,18/01/2015,27.18
Belgium,BEL,18/01/2015,38.28
Czechia,CZE,18/01/2015,27.36
Denmark,DNK,18/01/2015,27.67
Estonia,EST,18/01/2015,28.25
Finland,FIN,18/01/2015,28.25
France,FRA,18/01/2015,36.88
Germany,DEU,18/01/2015,27.18
Greece,GRC,18/01/2015,60.73
Hungary,HUN,18/01/2015,31.75
Italy,ITA,18/01/2015,47.58
Latvia,LVA,18/01/2015,32.3
Lithuania,LTU,18/01/2015,32.3
Luxembourg,LUX,18/01/2015,27.18
Netherlands,NLD,18/01/2015,38.05
Norway,NOR,18/01/2015,28.24
Poland,POL,18/01/2015,32.91
Portugal,PRT,18/01/2015,42.89
Romania,ROU,18/01/2015,31.76
Slovakia,SVK,18/01/2015,27.36
Slovenia,SVN,18/01/2015,28.59
Spain,ESP,18/01/2015,42.89
Sweden,SWE,18/01/2015,28.25
Switzerland,CHE,18/01/2015,38.37
Austria,AUT,19/01/2015,42.75
Belgium,BEL,19/01/2015,46.44
Czechia,CZE,19/01/2015,42.85
Denmark,DNK,19/01/2015,34.4
Estonia,EST,19/01/2015,38.89
Finland,FIN,19/01/2015,38.42
France,FRA,19/01/2015,46.44
Germany,DEU,19/01/2015,42.75
Greece,GRC,19/01/2015,59.87
Hungary,HUN,19/01/2015,48.74
Italy,ITA,19/01/2015,52.65
Latvia,LVA,19/01/2015,40.48
Lithuania,LTU,19/01/2015,40.48
Luxembourg,LUX,19/01/2015,42.75
Netherlands,NLD,19/01/2015,43.65
Norway,NOR,19/01/2015,32.3
Poland,POL,19/01/2015,37.71
Portugal,PRT,19/01/2015,52.52
Romania,ROU,19/01/2015,47.76
Slovakia,SVK,19/01/2015,42.85
Slovenia,SVN,19/01/2015,47.33
Spain,ESP,19/01/2015,52.52
Sweden,SWE,19/01/2015,32.81
Switzerland,CHE,19/01/2015,49.61
Austria,AUT,20/01/2015,47
Belgium,BEL,20/01/2015,49.81
Czechia,CZE,20/01/2015,44.77
Denmark,DNK,20/01/2015,40.45
Estonia,EST,20/01/2015,36.59
Finland,FIN,20/01/2015,36.59
France,FRA,20/01/2015,49.81
Germany,DEU,20/01/2015,47
Greece,GRC,20/01/2015,63.49
Hungary,HUN,20/01/2015,45.9
Italy,ITA,20/01/2015,54.03
Latvia,LVA,20/01/2015,40.45
Lithuania,LTU,20/01/2015,40.45
Luxembourg,LUX,20/01/2015,47
Netherlands,NLD,20/01/2015,47.63
Norway,NOR,20/01/2015,30.99
Poland,POL,20/01/2015,40.76
Portugal,PRT,20/01/2015,61.13
Romania,ROU,20/01/2015,45.61
Slovakia,SVK,20/01/2015,44.96
Slovenia,SVN,20/01/2015,49.31
Spain,ESP,20/01/2015,61.13
Sweden,SWE,20/01/2015,34.9
Switzerland,CHE,20/01/2015,49.82
Austria,AUT,21/01/2015,44.93
Belgium,BEL,21/01/2015,50.08
Czechia,CZE,21/01/2015,44.46
Denmark,DNK,21/01/2015,41.53
Estonia,EST,21/01/2015,40.69
Finland,FIN,21/01/2015,40.69
France,FRA,21/01/2015,50.08
Germany,DEU,21/01/2015,44.93
Greece,GRC,21/01/2015,59.98
Hungary,HUN,21/01/2015,45.27
Italy,ITA,21/01/2015,53.39
Latvia,LVA,21/01/2015,42.81
Lithuania,LTU,21/01/2015,42.81
Luxembourg,LUX,21/01/2015,44.93
Netherlands,NLD,21/01/2015,45.23
Norway,NOR,21/01/2015,32.49
Poland,POL,21/01/2015,43.18
Portugal,PRT,21/01/2015,51.28
Romania,ROU,21/01/2015,45
Slovakia,SVK,21/01/2015,44.46
Slovenia,SVN,21/01/2015,45.14
Spain,ESP,21/01/2015,51.28
Sweden,SWE,21/01/2015,40.22
Switzerland,CHE,21/01/2015,50.92
Austria,AUT,22/01/2015,43.88
Belgium,BEL,22/01/2015,51.44
Czechia,CZE,22/01/2015,44.39
Denmark,DNK,22/01/2015,41.99
Estonia,EST,22/01/2015,41.64
Finland,FIN,22/01/2015,41.64
France,FRA,22/01/2015,51.44
Germany,DEU,22/01/2015,43.88
Greece,GRC,22/01/2015,65.12
Hungary,HUN,22/01/2015,44.6
Italy,ITA,22/01/2015,52.77
Latvia,LVA,22/01/2015,44.16
Lithuania,LTU,22/01/2015,44.19
Luxembourg,LUX,22/01/2015,43.88
Netherlands,NLD,22/01/2015,44.38
Norway,NOR,22/01/2015,33.91
Poland,POL,22/01/2015,39.02
Portugal,PRT,22/01/2015,50.83
Romania,ROU,22/01/2015,41.33
Slovakia,SVK,22/01/2015,44.39
Slovenia,SVN,22/01/2015,45.28
Spain,ESP,22/01/2015,50.83
Sweden,SWE,22/01/2015,41.27
Switzerland,CHE,22/01/2015,52.06
Austria,AUT,23/01/2015,42.26
Belgium,BEL,23/01/2015,48.49
Czechia,CZE,23/01/2015,42.91
Denmark,DNK,23/01/2015,39.91
Estonia,EST,23/01/2015,40.45
Finland,FIN,23/01/2015,40.45
France,FRA,23/01/2015,48.49
Germany,DEU,23/01/2015,42.26
Greece,GRC,23/01/2015,58.68
Hungary,HUN,23/01/2015,43.92
Italy,ITA,23/01/2015,52.84
Latvia,LVA,23/01/2015,43.69
Lithuania,LTU,23/01/2015,43.69
Luxembourg,LUX,23/01/2015,42.26
Netherlands,NLD,23/01/2015,43.6
Norway,NOR,23/01/2015,38.62
Poland,POL,23/01/2015,36.73
Portugal,PRT,23/01/2015,53.83
Romania,ROU,23/01/2015,28.9
Slovakia,SVK,23/01/2015,42.91
Slovenia,SVN,23/01/2015,44.57
Spain,ESP,23/01/2015,53.63
Sweden,SWE,23/01/2015,39.49
Switzerland,CHE,23/01/2015,49.28
Austria,AUT,24/01/2015,29.56
Belgium,BEL,24/01/2015,42.41
Czechia,CZE,24/01/2015,30.49
Denmark,DNK,24/01/2015,27.92
Estonia,EST,24/01/2015,28.95
Finland,FIN,24/01/2015,28.95
France,FRA,24/01/2015,42.41
Germany,DEU,24/01/2015,29.56
Greece,GRC,24/01/2015,55.76
Hungary,HUN,24/01/2015,31.89
Italy,ITA,24/01/2015,47.68
Latvia,LVA,24/01/2015,37.24
Lithuania,LTU,24/01/2015,37.24
Luxembourg,LUX,24/01/2015,29.56
Netherlands,NLD,24/01/2015,39.82
Norway,NOR,24/01/2015,28.34
Poland,POL,24/01/2015,34.78
Portugal,PRT,24/01/2015,46.77
Romania,ROU,24/01/2015,25.82
Slovakia,SVK,24/01/2015,30.49
Slovenia,SVN,24/01/2015,33.62
Spain,ESP,24/01/2015,46.77
Sweden,SWE,24/01/2015,28.52
Switzerland,CHE,24/01/2015,43.09
Austria,AUT,25/01/2015,28.43
Belgium,BEL,25/01/2015,40.45
Czechia,CZE,25/01/2015,26.55
Denmark,DNK,25/01/2015,28.57
Estonia,EST,25/01/2015,28.79
Finland,FIN,25/01/2015,28.79
France,FRA,25/01/2015,40.09
Germany,DEU,25/01/2015,28.43
Greece,GRC,25/01/2015,52.27
Hungary,HUN,25/01/2015,30.25
Italy,ITA,25/01/2015,42.27
Latvia,LVA,25/01/2015,39.23
Lithuania,LTU,25/01/2015,39.23
Luxembourg,LUX,25/01/2015,28.43
Netherlands,NLD,25/01/2015,40.16
Norway,NOR,25/01/2015,28.6
Poland,POL,25/01/2015,30.85
Portugal,PRT,25/01/2015,40.74
Romania,ROU,25/01/2015,30.27
Slovakia,SVK,25/01/2015,26.55
Slovenia,SVN,25/01/2015,31.75
Spain,ESP,25/01/2015,40.74
Sweden,SWE,25/01/2015,28.83
Switzerland,CHE,25/01/2015,38.38
Austria,AUT,26/01/2015,37.23
Belgium,BEL,26/01/2015,47.17
Czechia,CZE,26/01/2015,35.4
Denmark,DNK,26/01/2015,28.42
Estonia,EST,26/01/2015,37.78
Finland,FIN,26/01/2015,37.84
France,FRA,26/01/2015,47.17
Germany,DEU,26/01/2015,37.23
Greece,GRC,26/01/2015,61.54
Hungary,HUN,26/01/2015,42.88
Italy,ITA,26/01/2015,50.66
Latvia,LVA,26/01/2015,43.08
Lithuania,LTU,26/01/2015,43.08
Luxembourg,LUX,26/01/2015,37.23
Netherlands,NLD,26/01/2015,43.99
Norway,NOR,26/01/2015,28.61
Poland,POL,26/01/2015,36.06
Portugal,PRT,26/01/2015,58.06
Romania,ROU,26/01/2015,42.92
Slovakia,SVK,26/01/2015,35.4
Slovenia,SVN,26/01/2015,41.6
Spain,ESP,26/01/2015,58.06
Sweden,SWE,26/01/2015,28.99
Switzerland,CHE,26/01/2015,48.94
Austria,AUT,27/01/2015,33.21
Belgium,BEL,27/01/2015,48.28
Czechia,CZE,27/01/2015,34.54
Denmark,DNK,27/01/2015,28.86
Estonia,EST,27/01/2015,41.73
Finland,FIN,27/01/2015,41.73
France,FRA,27/01/2015,48.28
Germany,DEU,27/01/2015,33.21
Greece,GRC,27/01/2015,61.94
Hungary,HUN,27/01/2015,47.27
Italy,ITA,27/01/2015,52.04
Latvia,LVA,27/01/2015,45.61
Lithuania,LTU,27/01/2015,45.61
Luxembourg,LUX,27/01/2015,33.21
Netherlands,NLD,27/01/2015,39.59
Norway,NOR,27/01/2015,29.16
Poland,POL,27/01/2015,38.41
Portugal,PRT,27/01/2015,56.02
Romania,ROU,27/01/2015,47.46
Slovakia,SVK,27/01/2015,36.25
Slovenia,SVN,27/01/2015,43.67
Spain,ESP,27/01/2015,55.19
Sweden,SWE,27/01/2015,29.28
Switzerland,CHE,27/01/2015,48.55
Austria,AUT,28/01/2015,27.47
Belgium,BEL,28/01/2015,45.24
Czechia,CZE,28/01/2015,28.14
Denmark,DNK,28/01/2015,26.62
Estonia,EST,28/01/2015,32.35
Finland,FIN,28/01/2015,32.35
France,FRA,28/01/2015,45.24
Germany,DEU,28/01/2015,27.47
Greece,GRC,28/01/2015,64.61
Hungary,HUN,28/01/2015,43.02
Italy,ITA,28/01/2015,52.2
Latvia,LVA,28/01/2015,40.92
Lithuania,LTU,28/01/2015,40.92
Luxembourg,LUX,28/01/2015,27.47
Netherlands,NLD,28/01/2015,41.72
Norway,NOR,28/01/2015,27.54
Poland,POL,28/01/2015,35.41
Portugal,PRT,28/01/2015,57.55
Romania,ROU,28/01/2015,42.47
Slovakia,SVK,28/01/2015,35.01
Slovenia,SVN,28/01/2015,46.41
Spain,ESP,28/01/2015,57.68
Sweden,SWE,28/01/2015,27.66
Switzerland,CHE,28/01/2015,47.17
Austria,AUT,29/01/2015,26.93
Belgium,BEL,29/01/2015,49.17
Czechia,CZE,29/01/2015,27.73
Denmark,DNK,29/01/2015,27.03
Estonia,EST,29/01/2015,32.02
Finland,FIN,29/01/2015,32.02
France,FRA,29/01/2015,49.09
Germany,DEU,29/01/2015,26.93
Greece,GRC,29/01/2015,69.07
Hungary,HUN,29/01/2015,45.94
Italy,ITA,29/01/2015,51.64
Latvia,LVA,29/01/2015,39
Lithuania,LTU,29/01/2015,39
Luxembourg,LUX,29/01/2015,26.93
Netherlands,NLD,29/01/2015,46.4
Norway,NOR,29/01/2015,27.76
Poland,POL,29/01/2015,35.68
Portugal,PRT,29/01/2015,43.47
Romania,ROU,29/01/2015,43.05
Slovakia,SVK,29/01/2015,33.94
Slovenia,SVN,29/01/2015,45.93
Spain,ESP,29/01/2015,43.3
Sweden,SWE,29/01/2015,27.59
Switzerland,CHE,29/01/2015,48.07
Austria,AUT,30/01/2015,38.29
Belgium,BEL,30/01/2015,43.52
Czechia,CZE,30/01/2015,38.42
Denmark,DNK,30/01/2015,30.37
Estonia,EST,30/01/2015,33.71
Finland,FIN,30/01/2015,33.71
France,FRA,30/01/2015,42.35
Germany,DEU,30/01/2015,38.29
Greece,GRC,30/01/2015,63.81
Hungary,HUN,30/01/2015,41.52
Italy,ITA,30/01/2015,49.07
Latvia,LVA,30/01/2015,38.98
